artist,name,url,yt_links,Genre
BTS,Dream Glow (BTS World Original Soundtrack) - Pt. 1,https://www.last.fm/music/BTS/_/Dream+Glow+(BTS+World+Original+Soundtrack)+-+Pt.+1,https://www.youtube.com/watch?v=HwT9oKqfUxY,pop
Turnstile,DON'T PLAY,https://www.last.fm/music/Turnstile/_/DON%27T+PLAY,https://www.youtube.com/watch?v=zfnZ63egal4,punk
Mitski,Crack Baby,https://www.last.fm/music/Mitski/_/Crack+Baby,https://www.youtube.com/watch?v=edEO9Ldb_VQ,pop
Beyoncé,Partition,https://www.last.fm/music/Beyonc%C3%A9/_/Partition,https://www.youtube.com/watch?v=pZ12_E5R3qc,pop
Bring Me the Horizon,DiE4u,https://www.last.fm/music/Bring+Me+the+Horizon/_/DiE4u,https://www.youtube.com/watch?v=IPUUbVhvqrE,pop
Kanye West,Remote Control pt 2,https://www.last.fm/music/Kanye+West/_/Remote+Control+pt+2,https://www.youtube.com/watch?v=IsYOlnRNfiM,rap
blink-182,Adam's Song,https://www.last.fm/music/blink-182/_/Adam%27s+Song,https://www.youtube.com/watch?v=2MRdtXWcgIw,pop
The Weeknd,False Alarm,https://www.last.fm/music/The+Weeknd/_/False+Alarm,https://www.youtube.com/watch?v=CW5oGRx9CLM,rnb
LIL UZI VERT,Silly Watch,https://www.last.fm/music/LIL+UZI+VERT/_/Silly+Watch,https://www.youtube.com/watch?v=HsqXHg9vmjs,rap
Don Toliver,Cardigan,https://www.last.fm/music/Don+Toliver/_/Cardigan,https://www.youtube.com/watch?v=Gbng2ZDW3gE,rap
Dr. Dre,Forgot About Dre,https://www.last.fm/music/Dr.+Dre/_/Forgot+About+Dre,https://www.youtube.com/watch?v=QFcv5Ma8u8k,rap
TOMORROW X TOGETHER,Cat & Dog,https://www.last.fm/music/TOMORROW+X+TOGETHER/_/Cat+&+Dog,https://www.youtube.com/watch?v=NaKrke1EL1A,pop
Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),https://www.last.fm/music/Maroon+5/_/Beautiful+Mistakes+(feat.+Megan+Thee+Stallion),https://www.youtube.com/watch?v=BSzSn-PRdtI,pop
Miley Cyrus,The Climb,https://www.last.fm/music/Miley+Cyrus/_/The+Climb,https://www.youtube.com/watch?v=NG2zyeVRcbs,pop
Eminem,Not Afraid,https://www.last.fm/music/Eminem/_/Not+Afraid,https://www.youtube.com/watch?v=j5-yKhDd64s,rap
PARTYNEXTDOOR,Come and See Me (feat. Drake),https://www.last.fm/music/PARTYNEXTDOOR/_/Come+and+See+Me+(feat.+Drake),https://www.youtube.com/watch?v=Ockhq8E2FrA,hip-hop
Marina Sena,Voltei Pra Mim,https://www.last.fm/music/Marina+Sena/_/Voltei+Pra+Mim,https://www.youtube.com/watch?v=eoKOOnchcbg,pop
Avril Lavigne,I'm with You,https://www.last.fm/music/Avril+Lavigne/_/I%27m+with+You,https://www.youtube.com/watch?v=dGR65RWwzg8,pop
My Chemical Romance,You Know What They Do to Guys Like Us in Prison,https://www.last.fm/music/My+Chemical+Romance/_/You+Know+What+They+Do+to+Guys+Like+Us+in+Prison,https://www.youtube.com/watch?v=ShQdOf2zAzc,rock
The Beatles,Get Back - Remastered 2009,https://www.last.fm/music/The+Beatles/_/Get+Back+-+Remastered+2009,https://www.youtube.com/watch?v=IKJqecxswCA,rock
Miley Cyrus,Malibu,https://www.last.fm/music/Miley+Cyrus/_/Malibu,https://www.youtube.com/watch?v=8j9zMok6two,pop
Wallows,OK,https://www.last.fm/music/Wallows/_/OK,https://www.youtube.com/watch?v=NSNcGYkp8v8,pop
Mitski,Fireworks,https://www.last.fm/music/Mitski/_/Fireworks,https://www.youtube.com/watch?v=k-txILGo0SM,pop
PJ Harvey,This Mess We're In,https://www.last.fm/music/PJ+Harvey/_/This+Mess+We%27re+In,https://www.youtube.com/watch?v=JqEVESq9eX8,rock
"Tyler, the Creator",Droppin' Seeds (Feat. Lil' Wayne),"https://www.last.fm/music/Tyler,+the+Creator/_/Droppin%27+Seeds+(Feat.+Lil%27+Wayne)",https://www.youtube.com/watch?v=MebxCTlHKto,rap
Gunna,Who You Foolin,https://www.last.fm/music/Gunna/_/Who+You+Foolin,https://www.youtube.com/watch?v=fUbUZHBmNTU,rap
Marshmello,Silence,https://www.last.fm/music/Marshmello/_/Silence,https://www.youtube.com/watch?v=tk36ovCMsU8,pop
JPEGMAFIA,ARE U HAPPY?,https://www.last.fm/music/JPEGMAFIA/_/ARE+U+HAPPY%3F,https://www.youtube.com/watch?v=SW7TdP1HzDU,hip-hop
Kid Cudi,Up Up & Away,https://www.last.fm/music/Kid+Cudi/_/Up+Up+&+Away,https://www.youtube.com/watch?v=3t8xnFVZHsY,rap
Vince Guaraldi Trio,Skating,https://www.last.fm/music/Vince+Guaraldi+Trio/_/Skating,https://www.youtube.com/watch?v=pt8iVEAnfK8,christmas
Lyn Lapid,In My Mind,https://www.last.fm/music/Lyn+Lapid/_/In+My+Mind,https://www.youtube.com/watch?v=939tAOi4UdY,pop
Lana Del Rey,Million Dollar Man,https://www.last.fm/music/Lana+Del+Rey/_/Million+Dollar+Man,https://www.youtube.com/watch?v=4jRJ8cym2eI,pop
